"Label","Sample_ID","Condition","Identifiant","Groupe_de_Fibre","Type_de_Mesure","Area","Mean","StdDev","Min","Max","Major","Minor","Angle","Circ.","IntDen","Median","Skew","Kurt","X.Area","RawIntDen","Slice","AR","Round","Solidity","MinThr","MaxThr","Moyenne_Background","Repos","VMA","AIT","Repos_centrage","VMA_centrage"
"1921-0076","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",408,23.013,28.823,5,144,44.323,11.72,10.557,0.548,11881,18,2.287,4.244,100,11881,1,3.782,0.264,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1922-2008","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",498,4.198,4.152,4,26,29.454,21.528,78.385,0.934,5132,9,1.329,1.115,100,5132,1,1.368,0.731,0.989,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1923-1127","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",416,7.629,6.641,6,36,38,13.939,45.602,0.683,5714,11,1.184,0.227,100,5714,1,2.726,0.367,0.957,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1929-1078","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",334,31.153,17.976,10,104,25.629,16.593,33.656,0.887,12445,33,1.428,2.027,100,12445,1,1.545,0.647,0.978,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1933-1737","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",95,76.556,26.999,34,142,14.446,8.373,151.274,0.824,7853,81,0.202,-0.789,100,7853,1,1.725,0.58,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1939-0406","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",476,22.177,7.117,15,46,27.318,22.186,82.906,0.879,13463,27,0.492,-0.507,100,13463,1,1.231,0.812,1.004,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1945-1047","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",573,35.05,26.483,9,115,36.655,19.903,53.983,0.81,23583,32,0.866,-0.444,100,23583,1,1.842,0.543,0.976,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1945-1097","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",318,5.808,2.945,7,20,21.468,18.86,179.902,0.98,3789,11,0.564,-0.364,100,3789,1,1.138,0.879,1.008,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1945-1652","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",668,50.655,36.217,12,155,41.771,20.362,37.935,0.758,37917,41,0.788,-0.635,100,37917,1,2.051,0.487,0.979,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1952-1780","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",193,70.53,22.398,30,132,17.848,13.769,125.755,0.915,14791,82,-0.368,-0.549,100,14791,1,1.296,0.771,1.003,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1957-0261","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",173,82.407,54.128,11,202,17.932,12.284,138.129,0.879,15313,86,0.234,-1.183,100,15313,1,1.46,0.685,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1958-0422","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",255,50.069,34.165,13,143,19.588,16.576,131.765,0.818,14325,45,0.871,-0.326,100,14325,1,1.182,0.846,0.96,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1962-1302","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",357,63.442,23.751,25,125,25.354,17.928,53.277,0.928,24829,67,0.299,-0.977,100,24829,1,1.414,0.707,0.989,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1965-1800","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",350,65.716,26.469,24,141,23.048,19.335,18.049,0.954,25138,65,0.507,-0.819,100,25138,1,1.192,0.839,1.004,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1967-1558","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",235,6.008,2.455,4,19,20.812,14.377,145.872,0.924,2847,12,0.192,-0.069,100,2847,1,1.448,0.691,1.009,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1969-1520","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",288,36.331,14.742,15,73,25.249,14.523,64.13,0.819,12222,44,-0.011,-1.116,100,12222,1,1.739,0.575,0.976,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1974-0976","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",352,24.345,8.854,13,56,31.889,14.055,3.447,0.774,10719,31,0.323,-0.298,100,10719,1,2.269,0.441,0.975,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1974-1505","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",166,52.501,18.297,28,105,24.773,8.532,70.961,0.614,9729,55,0.429,-0.74,100,9729,1,2.904,0.344,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1976-0881","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",299,15.549,8.404,8,58,27.27,13.96,138.467,0.832,6475,19,0.99,0.712,100,6475,1,1.953,0.512,1.017,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1977-1115","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",353,34.55,16.041,16,75,30.331,14.818,97.883,0.795,14352,37,0.391,-1.061,100,14352,1,2.047,0.489,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1980-0949","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",129,3.846,2.861,6,18,19.251,8.532,164.554,0.767,1284,9,0.907,0.027,100,1284,1,2.256,0.443,0.981,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1990-0972","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",346,12.043,7.028,7,35,27.305,16.134,7.712,0.846,6280,17,0.407,-0.875,100,6280,1,1.692,0.591,0.993,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1999-1276","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",743,52.182,23.806,12,124,43.634,21.681,37.206,0.769,43309,57,0.213,-0.758,100,43309,1,2.013,0.497,0.973,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2012-1818","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",211,10.552,6.503,6,38,22.265,12.066,145.268,0.827,3515,16,0.935,0.658,100,3515,1,1.845,0.542,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2017-1450","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",791,23.875,18.906,6,132,47.325,21.281,26.667,0.714,23716,26,1.724,4.295,100,23716,1,2.224,0.45,0.955,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2041-0408","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",250,33.569,24.784,17,172,24.451,13.018,11.791,0.775,9919,34,3.45,12.487,100,9919,1,1.878,0.532,0.969,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2042-0594","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",191,8.364,6.301,6,35,19.619,12.396,179.934,0.815,2764,13,1.308,1.31,100,2764,1,1.583,0.632,0.972,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"2042-0662","87_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIb/IIx","lactylated_nuclei",280,9.304,4.064,6,27,26.662,13.372,1.273,0.752,4315,15,0.161,-0.547,100,4315,1,1.994,0.502,0.964,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1426-0812","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",470,59.267,39.143,11,186,29.068,20.587,96.301,0.942,30726,56,0.742,-0.293,100,30726,1,1.412,0.708,0.995,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1440-1017","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",677,49.116,33.864,9,143,37.956,22.71,130.937,0.84,37386,45,0.691,-0.694,100,37386,1,1.671,0.598,0.966,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1451-0617","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",374,75.577,49.522,14,213,23.177,20.546,23.084,0.972,30550,75,0.527,-0.748,100,30550,1,1.128,0.886,0.997,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1495-0452","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",1181,41.062,25.315,8,121,54.413,27.635,62.598,0.802,55707,45,0.377,-0.76,100,55707,1,1.969,0.508,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1504-0870","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",140,9.007,2.696,9,25,15.062,11.835,0,0.972,2116,15,0.564,0.539,100,2116,1,1.273,0.786,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1550-1628","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",416,47.311,35.73,12,144,34.964,15.149,162.907,0.746,22222,40,0.83,-0.598,100,22222,1,2.308,0.433,0.987,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1604-0603","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",686,8.892,4.231,7,27,35.555,24.566,81.185,0.935,10289,15,0.177,-0.713,100,10289,1,1.447,0.691,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1648-1196","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",170,153.599,24.261,94,215,18.778,11.527,53.278,0.889,27150,156,0.056,-0.355,100,27150,1,1.629,0.614,0.994,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1663-0792","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",302,84.996,39.753,17,197,25.048,15.351,39.868,0.868,27513,95,0.109,-0.583,100,27513,1,1.632,0.613,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1684-0740","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",144,6.24,2.005,8,17,19.983,9.175,157.923,0.771,1778,12,-0.008,-0.58,100,1778,1,2.178,0.459,1.007,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1703-0758","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",91,4.64,1.568,8,15,13.106,8.841,168.743,0.863,978,11,0.198,-0.443,100,978,1,1.482,0.675,0.953,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1706-1837","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",192,84.424,34.119,26,152,28.105,8.698,142.184,0.604,17382,96,-0.214,-1.197,100,17382,1,3.231,0.309,1.049,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1733-1539","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",568,31.52,15.581,8,83,42.205,17.135,45.219,0.726,21372,39,0.151,-0.627,100,21372,1,2.463,0.406,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1843-1521","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",236,112.779,52.334,27,238,32.576,9.224,94.505,0.558,28057,119,0.153,-1.018,100,28057,1,3.532,0.283,0.948,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1844-1552","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",202,167.284,63.411,59,255,25.573,10.057,148.262,0.706,35025,180,-0.216,-1.274,100,35025,1,2.543,0.393,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1865-1721","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",473,25.024,12.72,8,95,36.716,16.403,176.924,0.785,14725,31,0.957,2.613,100,14725,1,2.238,0.447,1.015,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1883-1724","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",362,126.269,65.592,23,252,30.545,15.09,148.784,0.807,47920,141,-0.117,-1.322,100,47920,1,2.024,0.494,0.978,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1980-1234","88_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",293,98.599,67.042,14,249,29.002,12.863,124.681,0.763,30679,94,0.459,-0.921,100,30679,1,2.255,0.444,1.032,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0238-1453","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",318,43.45,19.207,19,87,21.47,18.858,73.307,0.95,15759,47,0.306,-1.14,100,15759,1,1.138,0.878,0.989,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0250-1217","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",331,99.222,54.85,23,231,30.972,13.607,55.124,0.736,34864,92,0.418,-1.139,100,34864,1,2.276,0.439,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0808-1711","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",426,27.485,12,11,59,26.992,20.095,68.815,0.949,14310,34,0.041,-1.078,100,14310,1,1.343,0.744,1,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0860-1886","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",262,60.095,34.576,12,144,24.796,13.453,41.39,0.838,17345,61,0.467,-0.898,100,17345,1,1.843,0.543,0.97,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0916-1442","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",155,8.248,8.539,4,52,24.95,7.91,176.815,0.609,2225,11,2.068,4.706,100,2225,1,3.154,0.317,0.972,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0993-1744","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",142,74.111,37.865,23,181,22.376,8.08,133.8,0.679,11391,72,0.629,-0.658,100,11391,1,2.769,0.361,0.953,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0135-1548","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",173,13.864,5.223,11,43,19.386,11.362,7.712,0.874,3455,18,1.511,2.824,100,3455,1,1.706,0.586,1,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0218-1489","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",378,49.184,20.716,12,107,25.519,18.86,143.775,0.94,20900,54,0.216,-0.834,100,20900,1,1.353,0.739,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0256-1716","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",294,34.169,13.148,17,77,28.179,13.284,20.95,0.807,11841,38,0.473,-0.537,100,11841,1,2.121,0.471,1.009,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0284-1645","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",287,69.374,30.656,23,145,27.688,13.198,22.199,0.787,21663,72,0.44,-0.781,100,21663,1,2.098,0.477,1.003,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0302-1586","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",261,13.303,5.463,8,37,28.671,11.591,153.257,0.737,5066,19,0.545,0.226,100,5066,1,2.474,0.404,0.974,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0313-1991","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",225,7.724,4.568,7,26,24.129,11.873,40.345,0.754,3112,13,0.448,-0.837,100,3112,1,2.032,0.492,0.996,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0425-2032","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",436,36.746,24.43,9,102,24.786,22.397,4.502,0.943,18684,38,0.366,-1.132,100,18684,1,1.107,0.904,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0495-1978","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",458,63.127,35.097,19,166,32.409,17.993,86.443,0.874,31709,63,0.587,-0.602,100,31709,1,1.801,0.555,0.998,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0617-1949","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",196,85.128,25.59,28,141,19.856,12.568,22.656,0.884,17882,95,-0.522,-0.42,100,17882,1,1.58,0.633,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0623-1804","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",394,31.111,12.408,15,63,31.195,16.081,108.451,0.814,14664,35,0.25,-1.083,100,14664,1,1.94,0.515,0.992,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0775-1016","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",194,15.816,5.358,12,33,21.108,11.702,4.414,0.886,4253,22,0.118,-0.94,100,4253,1,1.804,0.554,1.005,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0806-1916","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",155,64.667,20.103,36,112,15.844,12.456,17.541,0.941,10970,70,0.147,-1.034,100,10970,1,1.272,0.786,0.954,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0899-1393","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",150,31.386,17.447,16,79,20.873,9.15,167.798,0.704,5624,33,0.79,-0.54,100,5624,1,2.281,0.438,1.024,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1048-1952","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",214,16.8,9.347,9,48,19.866,13.716,111.98,0.902,4902,21,0.535,-0.756,100,4902,1,1.448,0.69,0.998,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1086-1965","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",326,11.123,5.168,7,36,28.931,14.347,107.569,0.804,5617,17,0.539,0.202,100,5617,1,2.017,0.496,1.003,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1215-1583","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",338,9.792,3.65,8,30,35.588,12.093,176.03,0.654,5374,16,0.59,0.632,100,5374,1,2.943,0.34,1.017,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1233-1879","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",230,8.454,3.88,7,28,29.374,9.97,115.066,0.619,3349,14,1.254,1.396,100,3349,1,2.946,0.339,0.958,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1242-2027","90_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",425,4.719,3.605,6,23,30.367,17.819,30.708,0.848,4601,10,1.104,0.549,100,4601,1,1.704,0.587,1.008,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0071-1132","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",360,8.31,8.455,5,40,33.052,13.868,50.464,0.7,5190,10,1.331,0.632,100,5190,1,2.383,0.42,0.945,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0202-0086","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",166,12.158,4.873,10,31,24.856,8.503,149.507,0.609,3032,18,0.371,-0.349,100,3032,1,2.923,0.342,0.957,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0270-0983","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",341,105.424,55.808,22,218,22.493,19.303,19.365,0.966,38032,110,0.041,-1.322,100,38032,1,1.165,0.858,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0806-1672","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",177,151.769,44.866,74,255,23.301,9.672,166.532,0.698,27944,157,0.48,-0.508,100,27944,1,2.409,0.415,0.941,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0929-1530","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",697,42.445,17.377,9,97,62.939,14.1,175.709,0.47,33841,49,0.083,-0.251,100,33841,1,4.464,0.224,0.964,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1341-0080","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",263,70.33,46.452,18,196,21.165,15.822,18.888,0.927,20103,64,0.685,-0.709,100,20103,1,1.338,0.748,1.002,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"1423-1396","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre I","lactylated_nuclei",214,188.407,47.81,69,255,24.831,10.973,8.223,0.756,41626,199,-0.402,-0.797,100,41626,1,2.263,0.442,0.988,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0313-0132","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",206,7.524,4.211,6,23,22.583,11.614,38.907,0.786,2808,13,0.425,-0.929,100,2808,1,1.944,0.514,0.965,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0363-0277","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",347,7.132,2.835,7,22,37.845,11.674,149.926,0.623,4594,13,0.269,-0.345,100,4594,1,3.242,0.308,1.015,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0428-0348","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",167,3.282,1.484,7,14,14.786,14.38,34.023,0.93,1568,9,0.51,0.188,100,1568,1,1.028,0.973,1.018,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0436-1625","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",458,18.579,8.527,9,52,43.274,13.476,86.127,0.624,11306,24,0.577,-0.24,100,11306,1,3.211,0.311,0.999,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0469-1769","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",305,92.906,27.607,26,156,25.625,15.155,56.679,0.855,30199,100,-0.408,0.01,100,30199,1,1.691,0.591,0.984,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0479-1634","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",201,12.774,5.631,8,35,23.871,10.721,153.536,0.762,3795,18,0.488,-0.411,100,3795,1,2.226,0.449,1.013,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0539-1511","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",233,22.884,10.276,10,53,20.291,14.62,60.055,0.935,6755,27,0.328,-0.719,100,6755,1,1.388,0.721,0.998,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0601-0632","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",348,47.948,41.923,9,172,30.86,14.358,169.573,0.742,18811,37,0.824,-0.651,100,18811,1,2.149,0.465,0.944,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
"0791-0671","91_Plan1-P2_AIT1","Exercice Aigu Intermittent","AIT1","Fibre IIa","lactylated_nuclei",138,28.871,11.26,13,53,23.129,7.597,134.87,0.639,4827,38,-0.445,-1.077,100,4827,1,3.044,0.328,0.986,0,255,6.107,2.8,10.3,7.8,-0.414603606668922,2.76782579108538
